feature,importance
vol_12,0.21363408133239212
range_pct,0.18663358244198883
vol_24,0.16291323264634847
quote_volume,0.09568776234122194
volume,0.08210480671977924
lower_wick,0.06805040393218036
close_to_ema,0.06336816243720543
upper_wick,0.05679271432699364
rsi,0.0471263999959802
rsi_14,0.047126399995979874
rsi_norm,0.047126399995979056
band_width,0.04186050628781981
ret_12,0.0418461780206949
z_to_ema,0.022744917878447426
band_pos,0.022744917878387987
ret_6,0.020390632979922243
std_55,0.016187378212878304
rsi_oversold,0.014711640086058879
ret_3,0.009891786405667805
rsi_overbought,0.00966958236779934
qvol_z24,0.008883071442637091
body,0.007983430974641798
open,0.007970625641313275
close,0.007528153185526257
vol_z24,0.0071587945236170555
high,0.006968525083250315
low,0.005639478167567029
kc_lower,0.0034231415454497216
ema_55,0.003365526439682807
kc_upper,0.003307533652506574
ret_1,0.002732676291233067
